,comment,author,posted_date,num_likes
42,"1.흥미니 원터치 골, 중앙 흥민존 원거리 골 다 진짜 최고구나 (킥력이 장난 아님)
2.데스크 라인 만큼 흥미니 케인과 합이 좋았던 때가 없었구나 (진심 그립다 델레 그리구 에릭센) 
3.작년 시즌에는 진짜 무슨 온 우주가 흥미니 골을 돕는 느낌이구나 (뒤로 차도 들어갈 것 같은 폼)
4.그런데 이런 골결이 월클인 흥민 선수를 어쩌자고 콘테는 미드필더로 사용한 걸까 (제정신인가)
5.물론 이번 시즌 득점왕 이후 확실히 수비수들이 가까이 끈덕지게 더러는 더티하게 붙긴 하는구나 (적응을 그런데 하기는 해야겄다)",Yoon,1 month ago (edited),0
43,존나 멋있다 최근 힘들다해도 아시아 역대급 선수이고 득점왕까지 오른 대한민국선수를 우리가 언제쯤 또 볼수있을까 그냥 손흥민을 볼수있는 지금현재를 즐기고 응원을 좀 더 해줄수있었으면 좋겠다 늘 멋진 골들로 국민들에게 즐거움을 준 손흥민 선수 선수로서 힘든시간을 보내고있겠지만 많은 국민들이 손흥민 선수 응원하고있으니 힘내시고 언제나 응원합니다! 화이팅!! 모든 역경도 손흥민답게 이겨내시길!!,풍선껌,1 month ago,350
44,보고있는 동안 내 청춘을 함께해온 듯한 느낌이라 감동이 밀려오네... 고맙습니다 손흥민선수 🥹,Hanss,1 month ago,0
45,손흥민선수의 플레이는 항상 시원시원해서  좋음,KKANG,1 month ago,2
46,울컥한다ㅜㅜ동시대를살아간다는게내자신이자랑스럽다,김GunWoo,7 days ago,1
47,보는 순간마다 그 자체로 감동입니다.~~ 아시아 최고의 선수 쏘니 파이팅~~♡♡♡♡♡,청이,1 month ago,8
48,"EPL 골로 1시간을 넘길 수 있다니
손흥민 대박",덤벨두스푼,1 month ago,2
49,골 모음 하나하나 찾아보기 힘들었는데 이렇게 다 묶어주니까 너무 좋다 흥민이형 지금처럼 긴 슬럼프가 오면 힘들겠지만 형의 모든 순간을 응원하는 팬들 위해서 조금만 더 롱런해주세요 항상 부상 조심하시고 이런 멋진 골들을 조금이나마 더 많이 넣을 수 있길 바랍니다,JK,1 month ago,184
50,"시간 가는줄 모르고 다봤다 ㄹㅇ 국뽕 차오른다,, 멋있다 손흥민 지금은 좀 부진하더라도 항상 응원합니다 손흥민 선수!",smin,1 month ago,2
51,"축구에 관심도 없는 저에게 손흥민 선수 덕분에 epl을 알게 됐고 축구가 이렇게 재밌는 스포츠였단걸 알게 되었어요 새벽에 잠못자며 응원하며 손흥민선수가 골을 넣을땐 진짜 그 하루의 시작이 즐거웠어요^^
손흥민 선수 덕분에 너무너무 행복해요 다치지 말고 계속 좋아하는 축구 해주세요!! 뒤에서 처음처럼 응원할께요",쏘굿,1 month ago,2
